symbol,timestamp,price
SBIN,2025-07-12T09:15:00Z,1222.66
SBIN,2025-07-12T09:15:00.005000Z,1550.06
TCS,2025-07-12T09:15:00.010000Z,1279.08
RELIANCE,2025-07-12T09:15:00.015000Z,2353.4
ITC,2025-07-12T09:15:00.020000Z,1173.88
HDFCBANK,2025-07-12T09:15:00.025000Z,1063.57
RELIANCE,2025-07-12T09:15:00.030000Z,1437.28
ITC,2025-07-12T09:15:00.035000Z,2204.04
ITC,2025-07-12T09:15:00.040000Z,1397.68
SBIN,2025-07-12T09:15:00.045000Z,2402.65
HDFCBANK,2025-07-12T09:15:00.050000Z,1440.88
ITC,2025-07-12T09:15:00.055000Z,1556.38
BAJFINANCE,2025-07-12T09:15:00.060000Z,1013.0
BAJFINANCE,2025-07-12T09:15:00.065000Z,1319.32
HDFCBANK,2025-07-12T09:15:00.070000Z,1680.5
TCS,2025-07-12T09:15:00.075000Z,1430.63
BAJFINANCE,2025-07-12T09:15:00.080000Z,1673.19
RELIANCE,2025-07-12T09:15:00.085000Z,1759.85
INFY,2025-07-12T09:15:00.090000Z,2694.99
ITC,2025-07-12T09:15:00.095000Z,1529.04
RELIANCE,2025-07-12T09:15:00.100000Z,2459.46
ITC,2025-07-12T09:15:00.105000Z,1249.65
HDFCBANK,2025-07-12T09:15:00.110000Z,1157.6
INFY,2025-07-12T09:15:00.115000Z,2658.81
ITC,2025-07-12T09:15:00.120000Z,2770.9
INFY,2025-07-12T09:15:00.125000Z,2154.7
SBIN,2025-07-12T09:15:00.130000Z,1139.11
SBIN,2025-07-12T09:15:00.135000Z,1455.8
INFY,2025-07-12T09:15:00.140000Z,2970.44
BAJFINANCE,2025-07-12T09:15:00.145000Z,1465.58
RELIANCE,2025-07-12T09:15:00.150000Z,1760.25
HDFCBANK,2025-07-12T09:15:00.155000Z,2271.37
INFY,2025-07-12T09:15:00.160000Z,1325.31
INFY,2025-07-12T09:15:00.165000Z,1419.01
INFY,2025-07-12T09:15:00.170000Z,2403.64
SBIN,2025-07-12T09:15:00.175000Z,2296.07
ITC,2025-07-12T09:15:00.180000Z,2269.96
ITC,2025-07-12T09:15:00.185000Z,2458.25
TCS,2025-07-12T09:15:00.190000Z,1924.52
INFY,2025-07-12T09:15:00.195000Z,2979.05
SBIN,2025-07-12T09:15:00.200000Z,2376.32
TCS,2025-07-12T09:15:00.205000Z,2369.23
BAJFINANCE,2025-07-12T09:15:00.210000Z,2536.63
RELIANCE,2025-07-12T09:15:00.215000Z,1458.1
RELIANCE,2025-07-12T09:15:00.220000Z,2610.09
HDFCBANK,2025-07-12T09:15:00.225000Z,1535.48
TCS,2025-07-12T09:15:00.230000Z,2826.27
ITC,2025-07-12T09:15:00.235000Z,2752.74
INFY,2025-07-12T09:15:00.240000Z,1425.25
HDFCBANK,2025-07-12T09:15:00.245000Z,1791.26
SBIN,2025-07-12T09:15:00.250000Z,1917.7
INFY,2025-07-12T09:15:00.255000Z,1279.26
SBIN,2025-07-12T09:15:00.260000Z,2122.74
INFY,2025-07-12T09:15:00.265000Z,2494.03
HDFCBANK,2025-07-12T09:15:00.270000Z,2795.65
HDFCBANK,2025-07-12T09:15:00.275000Z,1723.99
TCS,2025-07-12T09:15:00.280000Z,2019.05
RELIANCE,2025-07-12T09:15:00.285000Z,2511.56
BAJFINANCE,2025-07-12T09:15:00.290000Z,1219.3
SBIN,2025-07-12T09:15:00.295000Z,1319.96
SBIN,2025-07-12T09:15:00.300000Z,1844.32
RELIANCE,2025-07-12T09:15:00.305000Z,1769.53
ITC,2025-07-12T09:15:00.310000Z,2992.24
ITC,2025-07-12T09:15:00.315000Z,1502.83
ITC,2025-07-12T09:15:00.320000Z,2721.56
RELIANCE,2025-07-12T09:15:00.325000Z,2360.57
RELIANCE,2025-07-12T09:15:00.330000Z,2363.42
ITC,2025-07-12T09:15:00.335000Z,2501.76
BAJFINANCE,2025-07-12T09:15:00.340000Z,2281.92
RELIANCE,2025-07-12T09:15:00.345000Z,1587.0
TCS,2025-07-12T09:15:00.350000Z,1907.45
SBIN,2025-07-12T09:15:00.355000Z,2751.71
INFY,2025-07-12T09:15:00.360000Z,2943.78
BAJFINANCE,2025-07-12T09:15:00.365000Z,1357.3
RELIANCE,2025-07-12T09:15:00.370000Z,2741.04
INFY,2025-07-12T09:15:00.375000Z,2683.34
ITC,2025-07-12T09:15:00.380000Z,2217.94
TCS,2025-07-12T09:15:00.385000Z,1747.83
TCS,2025-07-12T09:15:00.390000Z,2078.76
BAJFINANCE,2025-07-12T09:15:00.395000Z,2844.87
RELIANCE,2025-07-12T09:15:00.400000Z,2197.89
HDFCBANK,2025-07-12T09:15:00.405000Z,1038.95
INFY,2025-07-12T09:15:00.410000Z,2757.44
BAJFINANCE,2025-07-12T09:15:00.415000Z,2613.55
TCS,2025-07-12T09:15:00.420000Z,1115.85
ITC,2025-07-12T09:15:00.425000Z,2893.9
RELIANCE,2025-07-12T09:15:00.430000Z,2463.82
BAJFINANCE,2025-07-12T09:15:00.435000Z,1138.43
BAJFINANCE,2025-07-12T09:15:00.440000Z,2065.41
TCS,2025-07-12T09:15:00.445000Z,1256.78
HDFCBANK,2025-07-12T09:15:00.450000Z,2893.7
TCS,2025-07-12T09:15:00.455000Z,1530.11
BAJFINANCE,2025-07-12T09:15:00.460000Z,2213.19
TCS,2025-07-12T09:15:00.465000Z,2857.83
BAJFINANCE,2025-07-12T09:15:00.470000Z,2459.86
TCS,2025-07-12T09:15:00.475000Z,2425.9
HDFCBANK,2025-07-12T09:15:00.480000Z,2990.3
SBIN,2025-07-12T09:15:00.485000Z,1746.84
ITC,2025-07-12T09:15:00.490000Z,1902.97
TCS,2025-07-12T09:15:00.495000Z,1449.39
INFY,2025-07-12T09:15:00.500000Z,1042.07
ITC,2025-07-12T09:15:00.505000Z,1460.23
TCS,2025-07-12T09:15:00.510000Z,1014.38
SBIN,2025-07-12T09:15:00.515000Z,2262.21
TCS,2025-07-12T09:15:00.520000Z,1134.8
RELIANCE,2025-07-12T09:15:00.525000Z,2719.27
RELIANCE,2025-07-12T09:15:00.530000Z,2028.31
INFY,2025-07-12T09:15:00.535000Z,2337.96
TCS,2025-07-12T09:15:00.540000Z,2078.47
SBIN,2025-07-12T09:15:00.545000Z,2871.03
